name,gene,b_terrestris_B_100,b_terrestris_B_246,b_terrestris_B_36,b_terrestris_B_39,b_terrestris_B_415,b_terrestris_B_9,b_terrestris_G_87
LOC100646293,LOC100646293,432,727,666,587,770,383,628
LOC110119296,LOC110119296,0,0,0,0,0,0,0
LOC125385115,LOC125385115,0,0,0,0,0,0,0
LOC125385108,LOC125385108,0,0,0,0,0,0,0
LOC125385105,LOC125385105,6,1,0,0,2,0,1
LOC125385102,LOC125385102,30,17,8,24,33,0,0
LOC125385112,LOC125385112,0,2,1,0,0,0,0
LOC105665721,LOC105665721,6,35,4,4,25,14,2
LOC125385104,LOC125385104,6,6,0,1,8,4,2
LOC100646060,LOC100646060,27,28,574,1181,42,352,196
LOC100646177,LOC100646177,38,52,88,80,41,203,163
LOC125385107,LOC125385107,11,8,5,10,18,4,17
LOC100645871,LOC100645871,371,474,265,316,416,347,343
LOC100645751,LOC100645751,167,170,195,171,155,404,156
LOC100645076,LOC100645076,26,24,15,5,26,24,27
LOC100645320,LOC100645320,73,44,32,8,53,22,26
LOC125385142,LOC125385142,0,0,1,0,0,0,0
LOC100644961,LOC100644961,2,19,17,14,17,15,5
LOC125385120,LOC125385120,0,2,1,1,0,0,1
LOC100645191,LOC100645191,77,109,274,338,84,218,132
LOC100644844,LOC100644844,261,271,169,165,230,434,625
LOC100644601,LOC100644601,57,103,83,52,54,91,76
LOC100643281,LOC100643281,64,52,88,75,42,66,36
LOC100644250,LOC100644250,89,85,114,82,80,46,51
LOC100644883,LOC100644883,2,4,0,0,6,0,1
LOC100651156,LOC100651156,28,43,0,0,66,2,0
LOC100649290,LOC100649290,67,47,45,44,49,79,135
LOC100651993,LOC100651993,25,25,30,26,23,34,61
LOC100650437,LOC100650437,0,0,2,12,0,53,3287
LOC100648552,LOC100648552,139,266,674,533,312,914,372
LOC100647613,LOC100647613,93,90,42,32,67,87,65
LOC100646410,LOC100646410,13,20,52,16,22,67,23
LOC100645119,LOC100645119,16,18,11,10,4,44,17
LOC100645591,LOC100645591,11,9,103,2,12,1163,0
LOC100643801,LOC100643801,91,107,49,6,75,131,4
LOC125385119,LOC125385119,0,0,0,0,0,0,0
LOC125385190,LOC125385190,0,0,0,0,0,0,0
LOC100643194,LOC100643194,98,99,5,0,72,28,6
LOC100652113,LOC100652113,28,19,0,0,38,8,6
LOC125385122,LOC125385122,0,0,0,0,0,0,0
LOC100650879,LOC100650879,34,16,0,0,30,4,0
LOC110119297,LOC110119297,0,0,2,0,0,0,0
LOC100647770,LOC100647770,44,46,32,28,26,71,22
LOC100649531,LOC100649531,14,22,20,25,14,29,26
LOC100646138,LOC100646138,80,120,86,80,123,72,70
LOC100647296,LOC100647296,2759,3694,5262,5006,3927,7148,3448
LOC100646295,LOC100646295,86,88,96,106,86,72,96
LOC125385090,LOC125385090,0,0,0,4,0,2,0
LOC100644171,LOC100644171,13,23,82,136,7,33,9
LOC100646257,LOC100646257,350,352,2011,2799,328,782,298
LOC105665719,LOC105665719,54,41,59,32,51,57,40
LOC100642879,LOC100642879,60,44,85,70,66,45,19
LOC100644758,LOC100644758,40,53,15,29,33,92,132
LOC100647808,LOC100647808,150,251,231,255,361,269,469
LOC100645121,LOC100645121,23,38,47,48,23,72,19
LOC100651441,LOC100651441,25,22,24,17,8,53,9
LOC125384616,LOC125384616,4,8,9,4,3,6,2
LOC100648938,LOC100648938,9,3,2,0,10,57,4
LOC100643570,LOC100643570,26,33,101,76,55,64,13
